district_ID,class1,class2,class3,class4,class5,class6,class7,class8,class9,class10,class11,class12,class13,class14,class15,class16,class17,class18,class19,class20,class21,class22,class23,class24,class25
9,8300,10956,3237,10458,2324,8881,3320,3320,0,0,39508,0,5478,4731,7138,13529,5561,0,11869,32370,249,2490,581,5976,3486
50,1494,1411,3071,2407,249,581,2905,830,0,0,3818,0,1992,581,3735,3154,1162,0,13778,11869,83,913,332,1494,1411
30,2988,1660,3652,3569,664,913,2158,830,0,0,7553,0,1494,3984,3320,4482,1660,0,14525,15853,249,830,166,913,2158
54,5976,4316,2407,7387,581,4316,2158,2905,0,0,18924,0,2407,249,4565,4648,2905,0,27390,38097,0,14940,415,2988,4067
46,16683,16683,4150,29299,5893,12284,5893,9213,0,0,104497,0,12699,996,8466,24900,20750,0,74783,86901,83,6557,1577,44571,9047
10,1079,664,1909,1660,332,1743,581,332,0,0,9794,0,332,2822,498,1660,332,0,1826,2905,581,0,166,830,249
28,16351,14940,2158,35026,5561,8051,7553,9960,14,0,90885,0,17015,1577,13280,34694,19920,83,40753,72711,249,7138,1992,65141,10458
20,5146,5229,3486,14027,1328,4067,5976,4897,0,0,26394,0,6059,6142,6557,20003,5063,0,59013,38346,249,6972,1245,13446,4565
14,13778,9296,1245,29050,4067,10624,8300,7802,0,0,57436,0,19837,11039,14110,32868,12616,0,34694,66317,498,5976,1577,77190,9603
2,11205,7636,1826,15521,1909,20169,4150,9711,0,0,51045,0,6972,830,17928,12616,13861,0,40919,100928,166,7055,747,8964,9379
29,6806,2905,6640,9628,664,1328,2988,1826,0,0,22244,0,4648,996,4980,7885,5893,0,30710,43741,0,3237,332,2407,6225
64,8466,4648,1328,11786,996,9711,3984,5229,0,0,30295,0,6557,1577,10209,7802,7719,0,22161,62665,83,3154,581,7138,5893
1,22659,30544,1909,30461,6806,32536,6557,11537,0,0,139191,0,43243,1411,12782,31125,23987,0,76775,101011,0,5229,1909,65653,8051
21,6557,22327,0,12450,3652,2822,2490,3984,0,0,64823,0,20003,415,2407,14940,7885,0,19837,38346,83,1079,498,57685,2822
45,166,0,332,332,0,0,830,249,0,0,166,0,4233,0,83,2739,0,0,8134,415,0,0,0,415,0
42,17928,8134,4565,28137,1660,14857,6640,7553,0,0,60175,0,7885,1411,10458,21497,16019,0,76692,120931,0,16766,1826,15853,9462
34,1494,3320,2158,4731,1826,2324,2075,1162,0,0,14857,0,2158,581,2656,3652,1909,0,16102,15355,0,1411,83,1162,1411
60,1245,249,2324,1909,498,581,1079,498,0,0,1577,0,166,664,1245,2656,249,0,8881,3403,664,747,332,332,581
61,3818,1162,1660,3818,249,2407,2324,1826,0,0,12201,0,2158,1743,4399,6723,1992,0,12699,24900,0,581,166,1079,3237
59,2822,1743,2905,3237,249,1577,1494,830,0,0,5063,0,664,249,2822,4648,830,0,7553,8383,83,1162,332,2490,1660
58,1328,996,3984,2158,747,498,1660,332,0,0,4316,0,83,498,1660,2158,1079,0,14110,9794,166,996,249,249,1328
19,5976,4648,5644,14193,1826,4731,4150,7304,0,0,27805,0,7636,581,5893,12284,6972,83,51958,50713,166,3818,581,11039,4067
11,6972,2905,4897,17347,498,5229,2656,5229,0,0,26809,0,4565,332,7885,10458,4067,0,59677,58432,166,27307,664,3403,5146
65,1328,1245,2573,5395,83,996,5478,1328,0,0,5644,0,1162,913,5229,7636,1494,0,25647,17679,166,3403,249,498,3071
38,3071,3486,3237,6972,581,1494,2739,1909,0,0,10624,0,2407,581,4482,5478,2490,0,22742,20418,166,2490,747,2490,1494
55,581,581,3901,830,83,0,747,0,0,0,747,0,83,83,1079,996,0,0,2407,249,83,83,83,83,166
47,4233,1577,3984,3901,581,4482,3735,2324,0,0,12616,0,2407,249,3569,5976,1577,0,13695,15936,0,1494,415,2241,2573
57,3486,8964,2656,7221,1494,5229,4482,2324,0,0,30046,0,5229,1577,9130,6142,4814,0,23987,28884,83,3984,747,6806,4233
24,17845,15521,6474,26560,2905,7719,7387,6640,0,0,70716,0,10790,1660,8549,22493,17596,0,57436,100513,0,13114,996,55361,10624
48,32785,26892,3237,72044,8134,23987,12367,31872,0,25,142594,0,85739,3652,48057,67977,31955,0,144171,354659,249,6474,9462,313491,17098
23,63910,46397,3735,103418,16517,35192,16932,34528,0,0,246759,166,77024,3735,62665,74949,55278,0,235886,285935,83,34445,11869,271908,29714
7,22161,54614,2075,48389,12367,27805,7221,34196,0,0,145997,0,67728,39010,38263,48057,20169,0,289753,83664,581,6640,10707,203184,12284
5,1079,1079,1411,1826,83,249,830,664,0,0,5312,0,166,332,1577,1743,415,0,6972,2490,664,332,83,166,415
3,830,747,1660,1743,0,498,2324,166,0,0,2905,0,1328,830,1909,2158,83,0,7802,3403,415,996,0,332,996
18,4233,3320,3984,6059,581,1411,3237,2075,0,0,12367,0,3486,332,4399,8466,3237,0,36935,23240,249,3154,581,2656,2905
33,4565,3486,3569,6059,996,3071,2656,1743,0,0,10790,0,1494,913,4897,6142,4150,0,13695,25647,249,2241,332,2573,2988
63,1079,1079,2075,3403,166,581,2324,1660,0,0,3403,0,415,166,3652,2158,1743,0,14110,31540,83,1079,664,498,1826
40,664,1328,4482,2573,415,249,1992,415,0,0,4648,0,747,664,913,3071,581,0,10541,4648,0,747,166,1577,1079
66,5727,3569,830,7719,1660,6640,3237,4482,0,0,23157,0,2905,3984,13280,5146,2822,0,14940,27722,581,2158,1577,3154,3652
51,86071,66649,1660,152803,21912,61005,35026,91217,0,0,419980,0,189157,40172,141515,152056,105410,83,502731,678110,83,8051,32619,493684,60839
8,48057,54780,3569,86078,14940,23489,13197,30461,0,0,221776,0,71380,6640,49883,66234,54607,83,232400,233396,0,12367,12035,259956,23074
32,1826,913,4067,3486,166,1411,1743,1577,0,0,3071,0,1577,249,3901,6391,996,0,18260,10126,0,498,498,1162,2407
37,20833,25979,6225,36603,7304,10873,6640,13778,0,0,120599,83,19007,1577,17015,35939,26062,0,97608,171478,83,7885,3486,85490,13197
27,27224,12865,2988,31291,2822,12201,7719,13363,0,0,75281,0,16268,1909,22576,40172,20418,0,76526,134128,166,7636,2573,18177,11288
